Disease	Eval_ID	gene
medulloblastoma	TH_Eval_016	NPIPP1
medulloblastoma	TH_Eval_016	NPR3
medulloblastoma	TH_Eval_016	NPRL2
medulloblastoma	TH_Eval_016	NPTX1
medulloblastoma	TH_Eval_016	NPW
medulloblastoma	TH_Eval_016	NRL
medulloblastoma	TH_Eval_016	NRN1
medulloblastoma	TH_Eval_016	NT5DC2
medulloblastoma	TH_Eval_016	NUP188
medulloblastoma	TH_Eval_016	OLA1
medulloblastoma	TH_Eval_016	OTX2
medulloblastoma	TH_Eval_016	PAGR1
medulloblastoma	TH_Eval_016	PAN2
medulloblastoma	TH_Eval_016	PARP6
medulloblastoma	TH_Eval_016	PBX3
medulloblastoma	TH_Eval_016	PCBP1-AS1
medulloblastoma	TH_Eval_016	PCBP4
medulloblastoma	TH_Eval_016	PCDH17
medulloblastoma	TH_Eval_016	PCDH8
medulloblastoma	TH_Eval_016	PCGF1
medulloblastoma	TH_Eval_016	PCSK2
medulloblastoma	TH_Eval_016	PDE2A
medulloblastoma	TH_Eval_016	PDE4C
medulloblastoma	TH_Eval_016	PDIA2
medulloblastoma	TH_Eval_016	PHF19
